textbox3,textbox7,textbox12,textbox23,textbox10,textbox9,textbox11,textbox8
"Friday, June 6, 2025",All,All,True,All,All,All,All

Location,textbox39,textbox89,AnimalName,Species,PrimaryBreed,textbox90,PrimaryColour,Stage,ReviewDate,StageChangeReason,ARN,textbox61,textbox78,SecondaryBreed,Gender,SecondaryColour,textbox79,SubLocation,HoldReason,HorForName,HoldStartDate,HoldPlacedBy,textbox47
  Dog Adoptions A,8,A0058545067,Bahama,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,Sable,Pending Foster Pickup,,,,,Medium,Mix,F,White,,04,,,,,372
  Dog Adoptions A,8,A0058545079,Aruba,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",3m 11d,Brindle,Pending Foster Pickup,,,,,Medium,Mix,F,,,02,,,,,372
  Dog Adoptions A,8,A0058589946,Ace,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",1y 9m 27d,Black,Hold - Behavior Mod.,,chillin per behavior,,,Large,Mix,M,,,06,,,,,372
  Dog Adoptions A,8,A0058622436,Onyx,Dog,Shepherd,6y 4d,Black,Hold - Doc,,,charcoal,,Medium,Mix,M,,,08,,,,,372
  Dog Adoptions A,8,A0058622481,Goldie,Dog,Bulldog,7y 5m 26d,Fawn,Hold - Doc,,,,,Medium,Mix,M,,,09,,,,,372
  Dog Adoptions A,8,A0058640662,INDIA,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",2y 3d,Red,Hold - Surgery,,needs spay,,,Medium,Mix,F,,,07,,,,,372
  Dog Adoptions A,8,A0058640671,CARAMEL,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",5y 22d,Black,Hold - Surgery,,needs spay,,,Medium,Mix,F,White,,05,,,,,372
  Dog Adoptions B,3,A0058237599,Perry,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",1y 8m 2d,White,Available,,bmc - dog reactive,,250.00,Large,Mix,F,Black,,09,,,,,372
  Dog Adoptions B,3,A0058545403,Orchard,Dog,"Mixed Breed, Medium (up to 44 lbs fully grown)",9m 9d,White,Available,,,,400.00,Medium,Mix,F,Tan,,03,,,,,372
  Dog Adoptions B,3,A0058589822,Robert,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",2y 7d,Black,Available,,,,250.00,Large,Mix,M,,,07,,,,,372
  Dog Adoptions C,1,A0058501234,CHERRY CHEESECAKE,Dog,"Mixed Breed, Large (over 44 lbs fully grown)",4y 2m 11d,White,Available,,,CHERRY,250.00,Medium,Mix,F,Brown,,06,,,,,372
